document_id,law_id,title,doc_type,source_subtype,issuing_org,jurisdiction,rag_category,effective_date,publication_date,status,tag_regulatory,tag_privacy,tag_advertising,usage_scope,source_url,collection_source,processing_note
kr-pipa-active-20251002,PIPA,개인정보 보호법,LAW,ACT,개인정보보호위원회 / 국가법령정보센터,KR,개인정보,2025-10-02,,active,true,true,false,BOTH,https://www.law.go.kr/법령/개인정보보호법,보완 확인,"2026-07-21 기준 현행본. 법률 제20897호, 2025-04-01 일부개정"
kr-pipa-future-20260911,PIPA,개인정보 보호법,LAW,ACT,개인정보보호위원회 / 국가법령정보센터,KR,개인정보,2026-09-11,,future,true,true,false,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=283839&viewCls=lsRvsDocInfoR,원래 수집,2026-09-11 시행 예정본. 현재 판정에는 active로 사용하지 않음
kr-pipa-decree-20260519,PIPA_DECREE,개인정보 보호법 시행령,LAW,DECREE,개인정보보호위원회 / 국가법령정보센터,KR,개인정보,2026-05-19,,active,true,true,false,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=286175,원래 수집,"개인정보 보호법 세부 요건, 안전조치, 처리 기준"
kr-pipc-health-data-guide-20260615,PIPC_HEALTH_DATA_GUIDE,보건의료데이터 활용 가이드라인,GUIDE,GUIDELINE,개인정보보호위원회,KR,보건의료데이터 / 개인정보,,2026-06-15,active,true,true,false,BOTH,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS217&mCode=G010030020&nttId=12183,원래 수집,2025-12 개정 자료. 건강정보·의료데이터 활용 및 가명처리 근거
kr-pipc-pseudonymized-data-guide-20260331,PIPC_PSEUDONYM_GUIDE,가명정보 처리 가이드라인,GUIDE,GUIDELINE,개인정보보호위원회,KR,개인정보 / 데이터 활용,,2026-03-31,active,true,true,false,BOTH,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS217&mCode=D010030000&nttId=11931,원래 수집,"2026-03 개정. 가명처리, 결합, 재식별 위험 관리"
kr-pipc-integrated-privacy-guide-202507,PIPC_INTEGRATED_PRIVACY_GUIDE,개인정보 처리 통합 안내서,GUIDE,MANUAL,개인정보보호위원회,KR,개인정보,,2025-07-01,active,true,true,false,BOTH,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS217&mCode=G010030020&nttId=11352,원래 수집,서비스 개인정보 처리 전반 체크리스트 근거
kr-pipc-security-safeguards-guide-202511,PIPC_SECURITY_SAFEGUARDS_GUIDE,개인정보 안전성 확보조치 기준 안내서,GUIDE,MANUAL,개인정보보호위원회,KR,개인정보 / 보안,,2025-11-01,active,true,true,false,BOTH,https://www.pipc.go.kr/np/cop/bbs/selectBoardList.do?bbsId=BS217&etc1=%ED%98%84%EC%9E%AC+%EC%95%88%EB%82%B4%EC%84%9C&mCode=G010030020,원래 수집,"접근권한, 암호화, 로그, 기술·관리적 보호조치 근거"
kr-pipc-privacy-faq-202512,PIPC_PRIVACY_FAQ,개인정보 질의응답 모음집,GUIDE,FAQ,개인정보보호위원회,KR,개인정보,,2025-12-01,active,true,true,false,BOTH,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS217&mCode=G010030020&nttId=11641,원래 수집,애매한 개인정보 처리 쟁점 해설 근거
kr-pipc-privacy-policy-guide-20260423,PIPC_PRIVACY_POLICY_GUIDE,개인정보 처리방침 작성지침,GUIDE,MANUAL,개인정보보호위원회,KR,개인정보 / 문서작성,,2026-04-23,active,true,true,false,BOTH,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS217&mCode=&nttId=12018,원래 수집,개인정보처리방침 작성 및 필수 고지 항목 점검
kr-pipc-data-portability-guide-20260625,PIPC_DATA_PORTABILITY_GUIDE,개인정보 전송요구권 제도 안내서,GUIDE,MANUAL,개인정보보호위원회,KR,개인정보 / 마이데이터,,2026-06-25,active,true,true,false,BOTH,https://pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS217&mCode=D010030000&nttId=12199,원래 수집 + 보완 확인,"마이데이터, 데이터 이동권, 전송요구권 근거"
kr-food-labeling-ad-act-active-20250919,FOOD_LABELING_AD_ACT,식품 등의 표시·광고에 관한 법률,LAW,ACT,식품의약품안전처 / 국가법령정보센터,KR,표시광고 / 식품,2025-09-19,,active,true,false,true,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=269957,보완 확인,"2026-07-28 기준 현행본. 법률 제20826호, 2025-03-18 일부개정"
kr-food-labeling-ad-act-future-20261127,FOOD_LABELING_AD_ACT,식품 등의 표시·광고에 관한 법률,LAW,ACT,식품의약품안전처 / 국가법령정보센터,KR,표시광고 / 식품,2026-11-27,,future,true,false,true,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=286269&viewCls=lsRvsDocInfoR,원래 수집 + 보완 확인,2026-11-27 시행 예정본. 현행본과 분리 필요
kr-food-labeling-ad-rule-20260101,FOOD_LABELING_AD_RULE,식품 등의 표시·광고에 관한 법률 시행규칙,LAW,RULE,식품의약품안전처 / 국가법령정보센터,KR,표시광고 / 식품,2026-01-01,,active,true,false,true,BOTH,https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=013475,보완 수집,식품 광고 세부 기준 및 광고 심의 대상 확인
kr-health-functional-food-act-active-20250103,HEALTH_FUNCTIONAL_FOOD_ACT,건강기능식품에 관한 법률,LAW,ACT,식품의약품안전처 / 국가법령정보센터,KR,건강기능식품,2025-01-03,,active,true,false,true,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?ancYnChk=0&chrClsCd=010202&efYd=20250103&lsiSeq=259283&urlMode=lsInfoP,보완 확인,"2026-07-21 기준 확인된 현행본. 법률 제20138호, 2024-01-23 일부개정"
kr-health-functional-food-act-future-20261008,HEALTH_FUNCTIONAL_FOOD_ACT,건강기능식품에 관한 법률,LAW,ACT,식품의약품안전처 / 국가법령정보센터,KR,건강기능식품,2026-10-08,,future,true,false,true,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?ancYnChk=&chrClsCd=010202&efYd=20261008&lsiSeq=285331&urlMode=lsInfoP,원래 수집 + 보완 확인,"2026-10-08 시행 예정본. 법률 제21525호, 2026-04-07 타법개정. 현행본 및 2026-12-31 예정본과 분리"
kr-health-functional-food-act-future-20261231,HEALTH_FUNCTIONAL_FOOD_ACT,건강기능식품에 관한 법률,LAW,ACT,식품의약품안전처 / 국가법령정보센터,KR,건강기능식품,2026-12-31,,future,true,false,true,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?ancYnChk=&chrClsCd=010202&efYd=20261231&lsiSeq=282005&urlMode=lsInfoP,보완 확인,"2026-12-31 시행 예정본. 법률 제21298호, 2025-12-30 일부개정. 2026-10-08 예정본과 다른 개정 건"
kr-health-functional-food-functional-ingredients-rule-20260413,HEALTH_FUNCTIONAL_FOOD_FUNCTIONAL_INGREDIENTS_RULE,건강기능식품 기능성 원료 및 기준·규격 인정에 관한 규정,LAW,ADMIN_RULE,식품의약품안전처,KR,건강기능식품 / 기능성 근거,2026-04-13,,active,true,false,true,BOTH,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000277826,보완 수집,인정된 기능성 범위와 광고 문구 대조용
kr-ai-basic-act-20260122,AI_BASIC_ACT,인공지능 발전과 신뢰 기반 조성 등에 관한 기본법,LAW,ACT,과학기술정보통신부 / 국가법령정보센터,KR,AI 규제,2026-01-22,,active,true,false,false,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?ancYnChk=&chrClsCd=010202&efYd=20260122&lsiSeq=282791&urlMode=lsInfoP,원래 수집,"AI 투명성, 고영향 AI, AI 기반 추천·진단 리스크"
kr-regulatory-sandbox-cases,REGULATORY_SANDBOX,규제샌드박스 승인 사례,CASE,SANDBOX_CASE,국무조정실 / 규제정보포털,KR,규제샌드박스,,,active,true,false,false,RAG,https://www.sandbox.go.kr/,원래 수집,상시 업데이트. 사례별 상세 URL 수집 필요
kr-regulatory-sandbox-guide,REGULATORY_SANDBOX_GUIDE,규제샌드박스 지원·제도 안내,GUIDE,INSTITUTION_GUIDE,국무조정실 / 규제정보포털,KR,규제샌드박스 / 제도,,,active,true,false,false,BOTH,https://www.sandbox.go.kr/sandbox/info/sandbox_support,원래 수집,"신청 요건, 지원 체계, 실증특례 검토 액션 도출"
kr-kca-consumer-damage-annual-casebook,KCA_CONSUMER_DAMAGE_CASEBOOK,한국소비자원 소비자 피해구제 연보 및 사례집,REPORT,CASEBOOK,한국소비자원 / 공공데이터포털,KR,광고 / 소비자피해,,2025-09-25,active,false,true,true,RAG,https://www.data.go.kr/data/15099574/fileData.do,교수님 피드백 반영,통계·요약 및 사례 후보 발굴용. 직접 판정 근거보다는 참고/보강
kr-kca-damage-casebook-list,KCA_DAMAGE_CASEBOOK_LIST,한국소비자원 피해구제사례집,REPORT,CASEBOOK,한국소비자원,KR,광고 / 소비자피해,,,active,false,true,true,RAG,https://www.kca.go.kr/odr/cm/in/pgExmplBook.do,교수님 피드백 반영,연도별 사례집 PDF. 광고·개인정보 관련 사례 선별 필요
kr-kca-item-damage-cases,KCA_ITEM_DAMAGE_CASES,한국소비자원 품목별 피해구제사례,CASE,DAMAGE_CASE,한국소비자원,KR,광고 / 소비자피해,,,active,false,true,true,RAG,https://www.kca.go.kr/odr/cm/in/exmplPgItem.do,교수님 피드백 반영,개별 사례 단위 수집. 디지털헬스/광고/개인정보 키워드로 1차 선별
kr-kca-item-dispute-decisions,KCA_ITEM_DISPUTE_DECISIONS,한국소비자원 품목별 분쟁조정결정사례,CASE,DISPUTE_DECISION,한국소비자원,KR,광고 / 분쟁,,,active,false,true,true,RAG,https://www.kca.go.kr/odr/cm/in/exmplBjItem.do,교수님 피드백 반영,개별 결정례 단위 수집. 피해구제사례보다 판단 근거 강함
kr-medical-device-act-rule-20260701,MEDICAL_DEVICE_ACT_RULE,의료기기법 시행규칙,LAW,RULE,식품의약품안전처 / 국가법령정보센터,KR,의료기기 / 광고,2026-07-01,,active,true,false,true,BOTH,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=287877,보완 수집,제45조(의료기기광고의 범위 등)와 별표7 연결 근거. 별표7 본문은 별도 document_id로 관리.
kr-pharmaceutical-affairs-act-20260621,PHARMACEUTICAL_AFFAIRS_ACT,약사법,LAW,ACT,보건복지부 / 식품의약품안전처 / 국가법령정보센터,KR,의료규제 / 약무행위,2026-06-21,,active,true,false,true,BOTH,https://www.law.go.kr/법령/약사법,보완 수집,약무행위(처방·조제·복약지도) 키워드의 regulatory_score 흡수 근거.
kr-mohw-nonmedical-healthcare-guide-20190521,MOHW_NONMEDICAL_HEALTHCARE_GUIDE,비의료 건강관리서비스 가이드라인 및 사례집(1차),GUIDE,MOHW_GUIDE,보건복지부,KR,의료규제 / 웰니스 / 비의료 건강관리,,2019-05-21,active,true,true,false,BOTH,https://www.mohw.go.kr/,보완 수집,웰니스와 의료행위 경계 및 Before/After 교정 근거.
